Title,Next Page,Order,Type,Date,Timeframe,Status,Tags,AI summary,Alternative Images,FORMULATED TITLE,Last,Last Page,Next,Page Content,Parent item,Sub-item
Health Crisis,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),4900,Chapter,,2024,Outlining,,No content,,4900_Health Crisis-2024,,Totaled Tesla (Totaled%20Tesla%2020af84a044028084a78ada0f5f0e3c8b.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),
Shut Down and Displacement,Compounded Grief (Compounded%20Grief%2020af84a04402807fbac9c56a69d2c548.md),6740,Chapter,,2024-2025,Drafting,,No content,,6740_Shut Down and Displacement-2024-2025,,IisiTax Parking Fiasco (IisiTax%20Parking%20Fiasco%20218f84a044028035b0a6fed2cc5c7f62.md),,,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),
Business Ventures Initiated,Business Ventures Initiated (Business%20Ventures%20Initiated%2020af84a0440280ffa3c9dd0d303315ac.md),4400,2019,,,Outlining,Personal Investment (Personal%20Investment%20208f84a04402803c9b5ceb22925ae8a5.md)",No content,,4400_Business Ventures Initiated-2019,,Business Ventures Initiated (Business%20Ventures%20Initiated%2020af84a0440280ffa3c9dd0d303315ac.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),"Lafayette Storefront Opened (Lafayette%20Storefront%20Opened%20208f84a044028084b4bcc042f65d4280.md)
PART VI – Collapse Continues (2024–Present),,,"The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),feeling isolated and unsupported. A confrontation with an ex-partner adds to her emotional burden,Drafting,6000,,"Struggling with overwhelming responsibilities after her husband's abandonment and her mother's critical condition,the author grapples with depression and anxiety,leading her to prioritize self-care by blocking communication for her mental health.",,,6000_PART VI – Collapse Continues (2024–Present)-2025,,Partnerships Formed (Partnerships%20Formed%2020af84a0440280d1bf2efc310d079d83.md),
Breaking the Silence,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),5400,Chapter,,2024,Drafting,,No content,,5400_Breaking the Silence-2024,,Living Between Worlds (Living%20Between%20Worlds%20200f84a04402801b97dec84aed45ace2.md),,,PART V – Awakening & Realignment  (PART%20V%20%E2%80%93%20Awakening%20&%20Realignment%2020af84a044028033bf52fbae366f3909.md),
The Descent,Severe Financial Setbacks (Severe%20Financial%20Setbacks%2020af84a044028012a6b5cb58fd56d24b.md),6100,,,Operational Overload (Operational%20Overload%2020af84a044028084bb56f6970000dda3.md)",Drafting,Unpaid Invoices Mount (Unpaid%20Invoices%20Mount%2020af84a0440280299ff0ed86f33fdd2c.md),No content,,6100_The Descent-2024-2025,,,,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),"Severe Financial Setbacks (Severe%20Financial%20Setbacks%2020af84a044028012a6b5cb58fd56d24b.md)
"Legal Battles (Bankruptcy,ICE)-2025",,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),No content,,,6750,Foreclosure,ICE)",,,"6750_Legal Battles (Bankruptcy,Foreclosure,"Visual Metaphor: A Surreal Marathon of Survival (Visual%20Metaphor%20A%20Surreal%20Marathon%20of%20Survival%2020af84a044028095a9c6d573800e8e08.md),HIV Scare (HIV%20Scare%2020ff84a044028046bf9ec43e0bb791ec.md)",Joels Absentiism (Joels%20Absentiism%2020ff84a0440280cf9878fdc0403ec1d1.md)
Physical Health Factors,Other Factors (Other%20Factors%2020af84a04402801ba3b7df8d56d545d8.md),6804,Page,,2025,Drafting,,No content,,6804_Physical Health Factors-2025,,Mental Health Factors (Mental%20Health%20Factors%2020af84a0440280e9bbd7c96d70f77246.md),,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Marathon of Life with Weighted Burdens,Estimated Burden Levels (Estimated%20Burden%20Levels%2020af84a0440280929ca5f7525c968cec.md),6801,Page,,2025,Drafting,,No content,,6801_Marathon of Life with Weighted Burdens-2025,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Other Factors,Visual Metaphor: A Surreal Marathon of Survival (Visual%20Metaphor%20A%20Surreal%20Marathon%20of%20Survival%2020af84a044028095a9c6d573800e8e08.md),6805,Page,,2025,Drafting,,No content,,6805_Other Factors-2025,,Physical Health Factors (Physical%20Health%20Factors%2020af84a0440280028a0fc3598d6598d5.md),,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Burden Point System: Quantifying the Unseen,Reset 3 on the horizon (Reset%203%20on%20the%20horizon%2021bf84a04402803a86f0def4c69212bc.md),6807,Page,,2025,Drafting,,No content,,6807_Burden Point System: Quantifying the Unseen-2025,,,,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Estimated Burden Levels,Mental Health Factors (Mental%20Health%20Factors%2020af84a0440280e9bbd7c96d70f77246.md),6802,Page,,2025,Drafting,,No content,,6802_Estimated Burden Levels-2025,,Marathon of Life with Weighted Burdens (Marathon%20of%20Life%20with%20Weighted%20Burdens%2020af84a04402800ea9efd931640a578b.md),,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Visual Metaphor: A Surreal Marathon of Survival,"Legal Battles (Bankruptcy,Foreclosure,Drafting,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),%20ICE)%2020af84a0440280d08c4cc924ae6b39b1.md)",,No content,,6806_Visual Metaphor: A Surreal Marathon of Survival-2025,,Other Factors (Other%20Factors%2020af84a04402801ba3b7df8d56d545d8.md),,ICE) (Legal%20Battles%20(Bankruptcy,%20Foreclosure,6806
Mental Health Factors,Physical Health Factors (Physical%20Health%20Factors%2020af84a0440280028a0fc3598d6598d5.md),6803,Page,,2025,Drafting,,No content,,6803_Mental Health Factors-2025,,Estimated Burden Levels (Estimated%20Burden%20Levels%2020af84a0440280929ca5f7525c968cec.md),,,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),
Understanding Neurodivergence: My Design,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),7100,Page,,2025,Drafting,,No content,,7100_Understanding Neurodivergence: My Design-2025,,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402800184afc95c31653a40.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
"If You Couldn’t Stay,Ignoring Someone in Crisis Is Still Harm (Ignoring%20Someone%20in%20Crisis%20Is%20Still%20Harm%2020af84a0440280d1b10ed34002257973.md),,,,,,Drafting,At Least Don’t Judge",No content,,"0706_If You Couldn’t Stay,At Least Don’t Judge-2025",,You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care (You%20Didn%E2%80%99t%20Fail%20Me%20by%20Walking%20Away%E2%80%94You%20Failed%20by%20P%2020af84a0440280faaa74cdb9faa7cf3c.md),0706,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
Your Story Matters,"You Are Not Alone,Even When It Feels Like It (You%20Are%20Not%20Alone,,,,,Drafting,No content,,0702_Your Story Matters-2025,,To the Survivors (To%20the%20Survivors%2020af84a0440280bfb187c68fd3327b15.md),,%20Even%20When%20It%20Feels%20Like%20It%2020af84a0440280edbb9df4652dc94fff.md)",0702,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
To the Abandoners,%20Even%20When%20It%20Feels%20Like%20It%2020af84a0440280edbb9df4652dc94fff.md)",,,,,,Drafting,No content,,0704_To the Abandoners-2025,,"You Are Not Alone,Even When It Feels Like It (You%20Are%20Not%20Alone,Ignoring Someone in Crisis Is Still Harm (Ignoring%20Someone%20in%20Crisis%20Is%20Still%20Harm%2020af84a0440280d1b10ed34002257973.md),0704,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
To the Bystanders,Silence is a Choice (Silence%20is%20a%20Choice%2020af84a0440280fd9751e01b41bd6031.md),0708,Letter,,2025,Drafting,,No content,,0708_To the Bystanders-2025,,You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care (You%20Didn%E2%80%99t%20Fail%20Me%20by%20Walking%20Away%E2%80%94You%20Failed%20by%20P%2020af84a0440280faaa74cdb9faa7cf3c.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
To the Survivors,Your Story Matters (Your%20Story%20Matters%2020af84a04402802f8641d3c7b7d67246.md),0701,Letter,,2025,Drafting,,No content,,0701_To the Survivors-2025,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Ignoring Someone in Crisis Is Still Harm,"If You Couldn’t Stay,At Least Don’t Judge (If%20You%20Couldn%E2%80%99t%20Stay,,,,,Drafting,No content,,0705_Ignoring Someone in Crisis Is Still Harm-2025,,To the Abandoners (To%20the%20Abandoners%2020af84a04402803db797c33a78065730.md),,%20At%20Least%20Don%E2%80%99t%20Judge%2020af84a04402801c8f84ed857fd01f53.md)",0705,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
"You Are Not Alone,Your Story Matters (Your%20Story%20Matters%2020af84a04402802f8641d3c7b7d67246.md),,,,,,Drafting,Even When It Feels Like It",No content,,"0703_You Are Not Alone,Even When It Feels Like It-2025",,To the Abandoners (To%20the%20Abandoners%2020af84a04402803db797c33a78065730.md),0703,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care,%20At%20Least%20Don%E2%80%99t%20Judge%2020af84a04402801c8f84ed857fd01f53.md)",,,,,,Drafting,No content,,0707_You Didn’t Fail Me by Walking Away—You Failed by Pretending to Care-2025,,"If You Couldn’t Stay,At Least Don’t Judge (If%20You%20Couldn%E2%80%99t%20Stay,To the Bystanders (To%20the%20Bystanders%2020af84a0440280a39a80dcb4560cc5b6.md),0707,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md)
Reflections on Survival & Self,Understanding Neurodivergence: My Design (Understanding%20Neurodivergence%20My%20Design%2020af84a0440280f999d8ea9420f7214f.md),0714,Insight,,2025,Drafting,,No content,,0714_Reflections on Survival & Self-2025,,Being Misunderstood Due to Processing Style (Being%20Misunderstood%20Due%20to%20Processing%20Style%2020af84a0440280bf89cfee217c0095a1.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Affirmations for Survivors,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),0713,Page,,2025,Drafting,,No content,,0713_Affirmations for Survivors-2025,,,,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
To Myself,Being Misunderstood Due to Processing Style (Being%20Misunderstood%20Due%20to%20Processing%20Style%2020af84a0440280bf89cfee217c0095a1.md),0712,Letter,,2025,Drafting,,No content,,0712_To Myself-2025,,Kept Going When No One Else Did (Kept%20Going%20When%20No%20One%20Else%20Did%2020af84a0440280c6b61cd01d9067316e.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Did My Best With What I Had,Kept Going When No One Else Did (Kept%20Going%20When%20No%20One%20Else%20Did%2020af84a0440280c6b61cd01d9067316e.md),0710,Page,,2025,Drafting,,No content,,0710_Did My Best With What I Had-2025,,Silence is a Choice (Silence%20is%20a%20Choice%2020af84a0440280fd9751e01b41bd6031.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Being Misunderstood Due to Processing Style,Reflections on Survival & Self (Reflections%20on%20Survival%20&%20Self%2020af84a04402800184afc95c31653a40.md),0713,Insight,,2025,Drafting,,No content,,0713_Being Misunderstood Due to Processing Style-2025,,To Myself (To%20Myself%2020af84a04402808da586f23efbd1e43b.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Kept Going When No One Else Did,To Myself (To%20Myself%2020af84a04402808da586f23efbd1e43b.md),0711,Page,,2025,Drafting,,No content,,0711_Kept Going When No One Else Did-2025,,Did My Best With What I Had (Did%20My%20Best%20With%20What%20I%20Had%2020af84a0440280b2b840cfe7a0782993.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Silence is a Choice,Did My Best With What I Had (Did%20My%20Best%20With%20What%20I%20Had%2020af84a0440280b2b840cfe7a0782993.md),0709,Page,,2025,Drafting,,No content,,0709_Silence is a Choice-2025,,To the Bystanders (To%20the%20Bystanders%2020af84a0440280a39a80dcb4560cc5b6.md),,,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),
Systems of Survival,%20Rewired%2020af84a0440280eb8af5e9aa9c5cec7b.md)",,,,,,Drafting,No content,,0802_Systems of Survival-2025,,"Resilience,Rewired (Resilience,Neurodivergent Design: Systems that See Us (Neurodivergent%20Design%20Systems%20that%20See%20Us%2020af84a0440280e799d2cd163461374c.md),0802,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md)
Neurodivergent Design: Systems that See Us,Breaking the Silence PodCast (Breaking%20the%20Silence%20PodCast%20208f84a044028092bb02e20b1c3a38e4.md),0803,Chapter,,2025,Drafting,,No content,,0803_Neurodivergent Design: Systems that See Us-2025,,Systems of Survival (Systems%20of%20Survival%2020af84a04402800ebb8de21898317003.md),,,PART VIII – Systems of Survival (PART%20VIII%20%E2%80%93%20Systems%20of%20Survival%2020af84a044028004893cd0bef5039f92.md),
Husbands Case,,3211_Husbands Case-2016,Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),physical,,,3211,"The letter supports Joel Enhan Rice-Velasquez's I-601a waiver,detailing severe emotional,and financial hardships if he is not allowed to stay in the U.S. The author expresses concerns about safety in Honduras due to violence against LGBT individuals,the psychological impact on their ill mother,and the financial burden of losing Joel's support. The author emphasizes that separation would lead to devastating consequences for both of them and their family.",,,Meeting Joel (Meeting%20Joel%2020df84a044028073bbc8e5c7a1e088d6.md),Aspirations Begin (Aspirations%20Begin%20208f84a04402818ea9f7c6f4ae004474.md)
Totaled Tesla 2,Spiritual Reawakening (Spiritual%20Reawakening%2021bf84a04402805bb808fccbe71b3653.md),6300,Chapter,,2024,Outlining,,No content,,6300_Totaled Tesla 2-2024,,Rideshare (Rideshare%2021bf84a0440280108801c96ad46cebc7.md),,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),
Leaving Home,Scholarly Mentors (Scholarly%20Mentors%2020df84a04402802db3d3ea1ae48da998.md),3102,,,2009,Outlining,,No content,,3102_Leaving Home-2009,,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),,,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),
Scholarly Mentors,Adulting (Adulting%2020df84a04402802aba44e937d32af9a8.md),3103,,,2009-2010,Outlining,,No content,,3103_Scholarly Mentors-2009-2010,,Leaving Home (Leaving%20Home%2020df84a044028003852ad03b4c43f904.md),,,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),
Adulting,"Bumby in the road,emotionally abuseive relationship (Bumby%20in%20the%20road,,,,,Outlining,No content,,3105_Adulting-2011-2012,,Scholarly Mentors (Scholarly%20Mentors%2020df84a04402802db3d3ea1ae48da998.md),,%20emotionally%20abuseive%20relationsh%2020df84a0440280c59691fe519d6bbd31.md)",3105,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md)
"Bumby in the road,Adulting (Adulting%2020df84a04402802aba44e937d32af9a8.md),,,,,,Outlining,emotionally abuseive relationship",No content,,"3106_Bumby in the road,emotionally abuseive relationship-2013-2014",,Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),3106,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md)
Reset 2,%20emotionally%20abuseive%20relationsh%2020df84a0440280c59691fe519d6bbd31.md)",,Husbands Case (Husbands%20Case%2020af84a0440280cdb680e1513ac25a8b.md)",,"Meeting Joel (Meeting%20Joel%2020df84a044028073bbc8e5c7a1e088d6.md),,Outlining,Sub-item with order 3200 is outlined for the timeframe of 2014-2015 and currently has a status of outlining.,,3200_Reset 2-2014-2015,,"Bumby in the road,emotionally abuseive relationship (Bumby%20in%20the%20road,Meeting Joel (Meeting%20Joel%2020df84a044028073bbc8e5c7a1e088d6.md),3200,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md)
School expulsion,The Dream of Stability (The%20Dream%20of%20Stability%2020af84a0440280b384defd339c250663.md),2401,,,2008,Outlining,,No content,,2401_School expulsion-2008,,Education and Misdiagnosis (Education%20and%20Misdiagnosis%2020af84a044028032803cc2a8eb94d2d0.md),,,Education and Misdiagnosis (Education%20and%20Misdiagnosis%2020af84a044028032803cc2a8eb94d2d0.md),
Reset 1,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md),,Scholarly Mentors (Scholarly%20Mentors%2020df84a04402802db3d3ea1ae48da998.md),currently in the status of outlining.","Leaving Home (Leaving%20Home%2020df84a044028003852ad03b4c43f904.md),,Outlining,"Outlining a reset plan with an order of 3100,covering the timeframe from 2008 to 2015,,,3100_Reset 1-2008-2015,,Leaving Home (Leaving%20Home%2020df84a044028003852ad03b4c43f904.md),3100,PART III – Ascent & Vision Amidst Challenge (PART%20III%20%E2%80%93%20Ascent%20&%20Vision%20Amidst%20Challenge%2020af84a04402803c94aac43a40a8dd2c.md)
Meeting Joel,Husbands Case (Husbands%20Case%2020af84a0440280cdb680e1513ac25a8b.md),3210,,,2016,Outlining,,No content,,3210_Meeting Joel-2016,,Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),,,Reset 2 (Reset%202%2020df84a044028090b6d6cd944a8000d6.md),
Joels Absentiism,ICE) (Legal%20Battles%20(Bankruptcy,%20Foreclosure,Not Started,,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),Mothers Explosion (Mothers%20Explosion%2020ff84a04402806096b3e30e9061c570.md),,No content,,6760_Joels Absentiism-June 2025,,"Legal Battles (Bankruptcy,Foreclosure,%20ICE)%2020af84a0440280d08c4cc924ae6b39b1.md)",,6760
Mothers Explosion,The Weight We Carry: A Framework for Understanding Invisible Burdens (The%20Weight%20We%20Carry%20A%20Framework%20for%20Understanding%20%20208f84a0440280158c69e60a13aadf24.md),6770,,,June 2025,Not Started,,No content,,6770_Mothers Explosion-June 2025,,Joels Absentiism (Joels%20Absentiism%2020ff84a0440280cf9878fdc0403ec1d1.md),,,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),
New Diagnosis,HIV Scare (HIV%20Scare%2020ff84a044028046bf9ec43e0bb791ec.md),6740,,,June 2025,Not Started,,Order 6740 is scheduled for June 2025 and has not yet started.,,6740_New Diagnosis-June 2025,,Bankruptcy (Bankruptcy%2021bf84a044028053b0d7f0afc741b755.md),,,Web of Compounding Challenges (Web%20of%20Compounding%20Challenges%20208f84a0440280349631c25504b6fdeb.md),HIV Scare (HIV%20Scare%2020ff84a044028046bf9ec43e0bb791ec.md)
HIV Scare,"Legal Battles (Bankruptcy,Foreclosure,Not Started,,New Diagnosis (New%20Diagnosis%2020ff84a04402809592d0e67bc1eabe48.md),%20ICE)%2020af84a0440280d08c4cc924ae6b39b1.md)",,No content,,6741_HIV Scare-June 2025,,New Diagnosis (New%20Diagnosis%2020ff84a04402809592d0e67bc1eabe48.md),,ICE) (Legal%20Battles%20(Bankruptcy,%20Foreclosure,6741
IisiTax Parking Fiasco,6730_IisiTax Parking Fiasco-June 2025,,Not Started,they were unable to pay the tickets,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),Shut Down and Displacement (Shut%20Down%20and%20Displacement%2020af84a0440280fe9280e5098116f3a8.md),,"The author faced parking tickets while working hard to keep the business afloat,using their car for client meetings and logistics. After being locked out of their office and tools,which escalated from $40 to a $235 judgment,while others involved distanced themselves from the responsibility.",,,Crystal and Arleth’s Betrayal (Crystal%20and%20Arleth%E2%80%99s%20Betrayal%2020af84a04402804f9611eee405fe2786.md),,6730
Turning Point: A Personal Update,6810_Turning Point: A Personal Update-2025,,Not Started,Cody felt increasingly alone and burdened. The decision to separate was made to protect personal integrity and clarity,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),,,"Cody shares a personal update about the official separation from Joel,emphasizing the need for truth after a period of silence that led to misinformation. Despite efforts to maintain the relationship amidst Joel's mental health struggles,and Cody invites open communication for those with questions,affirming a commitment to honesty and healing.",,,,,6810
Albertano,,3104,,,2010-2011,Not Started,,No content,,3104_Albertano-2010-2011,,,,,Reset 1 (Reset%201%2020df84a0440280babddac841616591fe.md),
Reset 3 on the horizon,PART VII – Letters to the World (PART%20VII%20%E2%80%93%20Letters%20to%20the%20World%2020af84a0440280e7b854fb26abc44a48.md),6900,,,2026,Not Started,,Order 6900 is scheduled for 2026 and has not yet started.,,6900_Reset 3 on the horizon-2026,,Burden Point System: Quantifying the Unseen (Burden%20Point%20System%20Quantifying%20the%20Unseen%2020af84a044028042b728fec14c134674.md),,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),
Restructuring and Partnerships,Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md),4700,,,2023,Outlining,,No content,,4700_Restructuring and Partnerships-2023,,Unhealthy Thoughts (Unhealthy%20Thoughts%2021bf84a04402802f8d09d84ed6bdeaf0.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),Early Warnings (Early%20Warnings%20208f84a04402819b8855c2d73c77eebc.md)
Unhealthy Thoughts,Restructuring and Partnerships (Restructuring%20and%20Partnerships%2021bf84a04402802c8ac1d2b9f838f46d.md),4600,,,,Outlining,,No content,,4600_Unhealthy Thoughts-,,Business Begins to Unravel (Business%20Begins%20to%20Unravel%2021bf84a04402802a8daec11029266851.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),
Transition,Wavering Community Support (Wavering%20Community%20Support%20208f84a044028005a7f5f354914d7d35.md),4300,,,,Not Started,,Order 4300 is currently not started.,,4300_Transition-,,Mental Health Impact (Mental%20Health%20Impact%2020af84a04402805e99f7e8657ff0bee5.md),,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),
Taking Over Alone,Mom Departs (Mom%20Departs%2021bf84a04402809baec2ea7d151970ab.md),4100,,,,Not Started,,No content,,4100_Taking Over Alone-,,,,,PART IV – Collapse & Consequences (PART%20IV%20%E2%80%93%20Collapse%20&%20Consequences%20208f84a0440280b1a51cd44a7cf4f105.md),Mom Departs (Mom%20Departs%2021bf84a04402809baec2ea7d151970ab.md)
Joels Return,IISITAX Venture Breakdown (IISITAX%20Venture%20Breakdown%20208f84a04402802cadb3c157312dcb02.md),6500,,,2024,Not Started,,No content,,6500_Joels Return-2024,,Partnerships Formed (Partnerships%20Formed%2020af84a0440280d1bf2efc310d079d83.md),,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),
Spiritual Reawakening,Partnerships Formed (Partnerships%20Formed%2020af84a0440280d1bf2efc310d079d83.md),6400,,,2023,Not Started,,No content,,6400_Spiritual Reawakening-2023,,Totaled Tesla 2 (Totaled%20Tesla%202%2020af84a04402803db59cd04d0f2b499b.md),,,PART VI – Collapse Continues (2024–Present) (PART%20VI%20%E2%80%93%20Collapse%20Continues%20(2024%E2%80%93Present)%2020af84a0440280059d31d302d8a5992f.md),
Mini Stroke,Rideshare (Rideshare%2021bf84a0440280108801c96ad46cebc7.md),6203,,,2024,Not Started,,No content,,6203_Mini Stroke-2024,,Hopeful Demise (Hopeful%20Demise%2021bf84a044028032a93fdc468859c8ce.md),,,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),
SRVGroup,Hopeful Demise (Hopeful%20Demise%2021bf84a044028032a93fdc468859c8ce.md),6201,,,2024,Not Started,,Order 6201 is scheduled for 2024 and currently has a status of not started.,,6201_SRVGroup-2024,,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),,,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),
Hopeful Demise,Mini Stroke (Mini%20Stroke%2021bf84a0440280c79979d2cfc6b9dd31.md),6202,,,2024,Not Started,,No content,,6202_Hopeful Demise-2024,,SRVGroup (SRVGroup%2021bf84a0440280778109e6e5e215a793.md),,,Business Ventures Initiated (Business%20Ventures%20Initiated%20208f84a0440280049810fbe6755ce6d1.md),
